# id	left	top	right	bottom	texture_id
[SPRITES]
# Red_platform
51000	136	103	151	119	31
52000	151	103	168	119	31
53000	168	103	183	119	31
# Red_middle
51400	136	119	151	135	31
51500	151	119	168	135	31
51600	168	119	183	135	31
# Red_bottom
51700	136	132	151	149	31
51800	151	132	168	149	31
51900	168	132	183	149	31

# Blue_platform
54000	168	71	183	87	31
55000	183	71	199	87	31
56000	199	71	215	87	31
# Blue_middle
54100	168	84	183	100	31
55100	183	84	199	100	31
56100	199	84	215	100	31
# Blue_bottom
54200	162	277	178	293	31
55200	178	277	194	293	31
56200	209	277	225	293	31

# Green_platform
57000	492	6	508	22	31
58000	508	6	524	22	31
59000	524	6	540	22	31
# Green_middle
57100	492	71	508	87	31
58100	508	71	524	87	31
59100	524	71	540	87	31
# Green_bottom
57200	74	215	90	231	31
58200	90	215	106	231	31
59200	122	215	138	231	31

# White_platform
51100	347	38	363	54	31
51200	363	38	379	54	31
51300	395	38	411	54	31
# White_middle
51110	347	53	363	69	31
51220	363	53	379	69	31
51330	395	53	411	69	31



# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
